,emp,slot,activity_type
1380,4,21,0
1381,3,21,0
1382,2,21,0
1383,2,21,0
1384,2,8,0
1385,3,8,3
1386,2,8,6
1387,1,19,6
1388,2,5,0
1389,2,5,0
1390,2,16,0
1391,2,5,0
1392,2,6,0
1393,1,11,0
1394,1,11,2
1395,2,12,6
1396,1,14,8
1397,1,19,0
1398,1,19,0
1399,3,5,0
1400,4,5,0
1401,4,8,0
1402,4,12,0
1403,3,4,0
1404,1,4,0
1405,1,4,0
1406,1,6,0
1407,1,6,0
1408,1,7,2
1409,2,17,4
1410,2,13,0
1411,2,16,2
1412,2,16,4
1413,4,16,0
1414,4,11,12
1415,4,11,0
1416,4,11,0
1417,4,20,0
1418,1,17,0
1419,4,17,8
1420,4,20,0
1421,3,3,0
1422,2,14,0
1423,4,22,0
1424,2,11,8
1425,2,12,2
1426,4,12,0
1427,3,10,3
1428,3,12,3
1429,3,12,2
1430,3,11,3
1431,3,10,3
1432,3,15,2
1433,3,14,3
1434,3,11,3
1435,3,17,0
1436,3,12,0
1437,4,4,0
1438,4,8,0
1439,3,8,3
1440,3,11,3
1441,3,16,0
1442,1,1,0
1443,4,1,0
1444,4,7,0
1445,4,12,0
1446,4,9,0
1447,4,9,0
1448,1,18,0
1449,1,4,0
1450,1,6,0
1451,4,2,0
1452,4,23,0
1453,2,2,0
1454,4,2,0
1455,4,2,0
1456,3,20,0
1457,3,21,0
1458,3,5,0
1459,4,10,0
1460,4,4,0
1461,4,2,0
1462,4,2,0
1463,4,5,0
1464,3,20,0
1465,3,6,0
1466,1,6,0
1467,3,22,0
1468,3,22,0
1469,3,8,0
1470,3,8,0
1471,3,17,0
1472,3,21,0
1473,1,21,0
1474,2,7,0
1475,4,24,0
1476,4,22,0
1477,4,14,0
1478,2,14,0
1479,2,18,0
1480,1,7,2
1481,1,9,2
1482,2,9,2
1483,2,21,0
1484,2,24,0
1485,4,17,0
1486,4,17,0
1487,2,17,8
1488,2,19,0
1489,2,19,0
1490,4,19,0
1491,4,12,0
1492,3,12,0
1493,3,13,8
1494,3,17,0
1495,4,24,0
1496,4,24,0
1497,2,23,0
1498,4,23,8
1499,1,14,6
1500,1,12,2
1501,1,12,2
1502,1,10,2
1503,1,15,2
1504,1,13,2
1505,1,13,2
1506,2,21,2
1507,2,19,0
1508,2,15,2
1509,2,17,8
1510,1,20,8
1511,1,22,8
1512,1,22,0
1513,4,22,8
1514,4,17,0
1515,1,17,0
1516,4,6,0
1517,1,6,0
1518,3,23,0
1519,3,23,0
1520,3,14,0
1521,2,13,0
1522,2,23,8
1523,4,4,0
1524,4,19,0
1525,4,14,0
1526,1,14,0
1527,1,7,0
1528,4,2,0
1529,4,2,0
1530,3,2,0
1531,2,21,0
1532,1,23,0
1533,2,23,0
1534,1,5,0
1535,2,5,0
1536,2,22,0
1537,3,6,0
1538,3,15,0
1539,3,7,0
1540,3,24,0
1541,4,2,0
1542,4,10,0
1543,1,10,0
1544,1,5,0
1545,3,2,0
1546,2,6,0
1547,2,14,0
1548,3,3,0
1549,1,2,0
